0|1514.69|1446.16|1667.53|2044.32|2325.35|2431.93|2482.61|13912.59|95492.35
1|4081.34|4182.62|4171.89|4008.88|3761.46|3545.59|3425.96|27177.74|50553.17
2|34193.39|33522.24|36055.28|39989.82|42562.12|43275.09|43567.18|273165.12|1304351.44
3|34370.64|34585.55|34427.92|33791.57|32935.92|32219.7|31842.09|234173.39|272542.47
4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5|18334.67|17476.71|16632.35|16087.94|15919.06|16152.68|16639.76|117243.17|183630.13
6|6920.65|6403.68|7821.9|10624.07|13148.42|14414.05|15083.0|74415.77|474347.9
7|22442.79|22780.97|23258.45|23195.08|22398.09|21436.61|20885.11|156397.1|427402.9
8|11219.27|10554.24|12496.55|16083.11|19056.41|20395.25|21075.09|110879.92|729459.72
9|2431.57|2278.5|2719.71|3544.91|4240.04|4560.07|4723.91|24498.71|198340.62
10|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
11|5326.03|4648.57|6308.27|10360.94|15037.26|18046.82|19809.12|79537.01|144132.27
12|6896.1|6906.74|7258.19|7589.08|7602.73|7420.29|7305.02|50978.15|181007.89
13|15949.42|13969.9|13877.78|15197.41|17094.41|19164.19|21096.97|116350.08|330206.79
14|23434.97|22835.76|23633.29|24932.97|25950.0|26619.46|27121.37|174527.82|335655.73
15|33431.11|30891.62|29409.36|29927.61|31552.81|34040.27|37632.93|226885.71|1016382.16
16|31277.36|30643.46|29408.21|28358.84|27770.36|27736.43|28309.67|203504.33|428168.42
17|70417.36|68659.1|67623.09|67749.67|68305.95|69139.86|70716.98|482612.01|1164334.17
18|41247.71|41525.72|43156.96|44312.73|43775.47|42411.82|41591.37|298021.78|852825.46
19|744.61|689.17|841.4|1141.86|1412.18|1547.5|1618.98|7995.7|63045.68
20|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
21|6297.21|6060.9|6789.21|8072.85|9075.55|9488.0|9690.44|55474.16|415579.91
22|10851.82|10286.63|10168.1|10547.98|11080.91|11657.25|12375.8|76968.49|283724.34
23|24267.71|24639.41|25141.88|25050.9|24173.36|23127.15|22527.71|168928.12|379076.49
24|26321.38|23820.36|24487.93|28051.55|32475.02|36825.62|41500.54|213482.4|1055534.3
25|50555.72|51016.89|51468.38|51290.14|50513.68|49273.91|47964.46|352083.18|486606.44
26|18387.66|18140.37|17474.52|16800.82|16342.47|16179.7|16345.19|119670.73|227504.57
27|8627.33|8496.19|9082.13|9927.19|10415.37|10495.67|10515.92|67559.8|309226.13
28|28385.24|27719.22|30628.37|34861.65|37346.46|37793.75|37921.3|234655.99|1326014.96
29|21145.49|20085.59|21839.06|25411.05|28775.93|30956.25|32396.42|180609.79|766510.93
30|52576.84|52894.81|51046.26|47687.89|44404.62|42277.45|41362.2|332250.07|325316.61
31|16856.47|15535.71|16102.21|17812.32|19674.92|21314.45|22650.47|129946.55|363323.26
32|261242.92|236710.94|242182.16|275407.22|317004.78|358366.19|403371.97|2094286.18|9500847.38
33|2585.75|2173.98|2237.81|2652.83|3225.04|3831.21|4376.33|21082.95|61563.22
34|8834.17|8563.21|9596.78|11193.75|12229.27|12509.09|12622.03|75548.3|532139.45
35|353114.28|343298.47|382572.91|441900.06|479005.88|487867.31|491165.69|2978924.6|17596560.5
36|12905.2|12485.82|14042.95|16481.84|18096.85|18561.72|18756.24|111330.62|726721.47
37|25741.1|24929.67|24696.37|25158.15|25858.33|26654.99|27681.33|180719.94|468584.24
38|42943.86|43022.51|43301.12|43571.29|43712.57|43870.8|43835.43|304257.58|306434.52
39|5807.57|4721.4|4908.47|6065.18|7735.14|9574.83|11265.96|50078.55|108756.49
40|8703.47|8809.81|9051.23|9119.05|8875.51|8530.21|8329.4|61418.68|159070.9
41|1924718.5|1830062.62|1734778.88|1673121.25|1654423.88|1680790.25|1734808.0|12232703.38|19884238.25
42|30419.29|27453.29|26425.35|27141.22|28763.04|30922.22|33194.01|204318.42|499811.25
43|14628.95|13877.77|13515.22|13518.5|13728.69|14117.77|14607.4|97994.3|181653.25
